Probe,Chromosome,Start,End,Probe Strand,Feature,ID,Description,Feature Strand,Type,Feature Orientation,Distance,SRR4190177.sorted.bam
ChrM:1-16500,M,1,16500,,MT-TF,ENSG00000210049.1,No description,+,Genegene,overlapping,0,16.02412224
Chr1:121482901-121485900,1,121482901,121485900,,null,,,,,Not found,0,14.96022892
Chr17:80571451-80572800,17,80571451,80572800,,RPTOR,ENSG00000141564.14,No description,+,Genegene,overlapping,0,14.58196545
Chr2:11638051-11639400,2,11638051,11639400,,GREB1,ENSG00000196208.13,No description,+,Genegene,overlapping,0,14.56635094
Chr20:46785451-46787850,20,46785451,46787850,,null,,,,,Not found,0,14.54924393
Chr8:129153601-129155700,8,129153601,129155700,,CCDC26,ENSG00000229140.9,No description,-,Genegene,overlapping,0,14.4912262
Chr6:58775851-58779750,6,58775851,58779750,,null,,,,,Not found,0,14.44895458
Chr17:56716501-56718450,17,56716501,56718450,,null,,,,,Not found,0,14.44372082
Chr8:103612501-103614450,8,103612501,103614450,,RIMS2,ENSG00000176406.22,No description,+,Genegene,overlapping,0,14.14481735
Chr8:98775601-98777400,8,98775601,98777400,,STK3,ENSG00000104375.16,No description,-,Genegene,overlapping,0,14.0380621
Chr20:47479951-47482500,20,47479951,47482500,,RPL35AP,ENSG00000234075.1,No description,-,Genegene,downstream,941,14.012187
Chr9:33220801-33222150,9,33220801,33222150,,SPINK4,ENSG00000122711.8,No description,+,Genegene,overlapping,0,13.98974991
Chr16:83980051-83981400,16,83980051,83981400,,NECAB2,ENSG00000103154.9,No description,+,Genegene,overlapping,0,13.97199249
Chr1:203057851-203059500,1,203057851,203059500,,PPFIA4,ENSG00000143847.15,No description,+,Genegene,overlapping,0,13.97145367
Chr21:43795051-43797750,21,43795051,43797750,,RRP1,ENSG00000160214.12,No description,+,Genegene,overlapping,0,13.89007378
Chr20:55727851-55767000,20,55727851,55767000,,null,,,,,Not found,0,13.85496616
Chr2:33294151-33296700,2,33294151,33296700,,LTBP1,ENSG00000049323.15,No description,+,Genegene,overlapping,0,13.75394821
Chr17:38477251-38479650,17,38477251,38479650,,ARHGAP23,ENSG00000275832.4,No description,+,Genegene,overlapping,0,13.74188805
Chr2:100252501-100253850,2,100252501,100253850,,LINC01104,ENSG00000232084.5,No description,+,Genegene,upstream,1017,13.70617199
Chr4:1238701-1241250,4,1238701,1241250,,CTBP1,ENSG00000159692.15,No description,-,Genegene,overlapping,0,13.45378494
Chr14:106025401-106026600,14,106025401,106026600,,IGHV7-4-1,ENSG00000282122.1,No description,-,Genegene,overlapping,0,13.39620304
Chr14:93483301-93484500,14,93483301,93484500,,UNC79,ENSG00000133958.13,No description,+,Genegene,overlapping,0,13.38370323
Chr5:6742501-6743850,5,6742501,6743850,,TENT4A,ENSG00000112941.13,No description,+,Genegene,overlapping,0,13.32839394
Chr8:128881951-128883900,8,128881951,128883900,,CCDC26,ENSG00000229140.9,No description,-,Genegene,overlapping,0,13.28699017
Chr2:566551-568650,2,566551,568650,,AC093326.1,ENSG00000233633.1,No description,+,Genegene,overlapping,0,13.23586464
Chr8:11587801-11588850,8,11587801,11588850,,null,,,,,Not found,0,13.2179575
Chr2:11261101-11263800,2,11261101,11263800,,ROCK2,ENSG00000134318.13,No description,-,Genegene,overlapping,0,13.15165043
Chr3:194062951-194064000,3,194062951,194064000,,LINC02028,ENSG00000230102.7,No description,-,Genegene,overlapping,0,13.14178753
Chr17:38604601-38605800,17,38604601,38605800,,SRCIN1,ENSG00000277363.4,No description,-,Genegene,overlapping,0,13.13538837
Chr10:115437901-115439850,10,115437901,115439850,,ATRNL1,ENSG00000107518.17,No description,+,Genegene,overlapping,0,13.11553192
Chr17:55976401-55978050,17,55976401,55978050,,ANKFN1,ENSG00000153930.11,No description,+,Genegene,overlapping,0,13.08098412
Chr14:75388501-75390000,14,75388501,75390000,,null,,,,,Not found,0,13.04439449
Chr5:173909251-173911350,5,173909251,173911350,,CPEB4,ENSG00000113742.12,No description,+,Genegene,overlapping,0,13.01000309
Chr14:93509401-93513150,14,93509401,93513150,,UNC79,ENSG00000133958.13,No description,+,Genegene,overlapping,0,12.99559116
Chr7:2578351-2580150,7,2578351,2580150,,IQCE,ENSG00000106012.17,No description,+,Genegene,overlapping,0,12.95237637
Chr11:76483051-76485450,11,76483051,76485450,,EMSY,ENSG00000158636.16,No description,+,Genegene,overlapping,0,12.8984127
ChrX:153877501-153879000,X,153877501,153879000,,L1CAM,ENSG00000198910.13,No description,-,Genegene,overlapping,0,12.89462757
Chr3:156391501-156392550,3,156391501,156392550,,KCNAB1,ENSG00000169282.17,No description,+,Genegene,overlapping,0,12.88092232
Chr2:28599601-28601850,2,28599601,28601850,,PLB1,ENSG00000163803.12,No description,+,Genegene,overlapping,0,12.85642529
Chr1:7506901-7508550,1,7506901,7508550,,CAMTA1,ENSG00000171735.18,No description,+,Genegene,overlapping,0,12.82654858
Chr20:43393501-43395150,20,43393501,43395150,,null,,,,,Not found,0,12.77210808
Chr12:122186101-122187450,12,122186101,122187450,,LRRC43,ENSG00000158113.12,No description,+,Genegene,overlapping,0,12.73174381
Chr8:107635651-107637600,8,107635651,107637600,,null,,,,,Not found,0,12.70628071
Chr8:102478501-102480150,8,102478501,102480150,,null,,,,,Not found,0,12.70433617
Chr10:129126751-129128250,10,129126751,129128250,,null,,,,,Not found,0,12.6796999
Chr8:130471651-130472850,8,130471651,130472850,,null,,,,,Not found,0,12.63820934
Chr20:48899551-48902100,20,48899551,48902100,,null,,,,,Not found,0,12.62981129
Chr12:2904601-2905800,12,2904601,2905800,,TULP3,ENSG00000078246.16,No description,+,Genegene,overlapping,0,12.57056713
Chr6:120462451-120464250,6,120462451,120464250,,null,,,,,Not found,0,12.5700922
Chr1:44532601-44534100,1,44532601,44534100,,RNF220,ENSG00000187147.17,No description,+,Genegene,overlapping,0,12.56961918
Chr17:27484801-27486600,17,27484801,27486600,,KSR1,ENSG00000141068.14,No description,+,Genegene,overlapping,0,12.56676769
Chr10:5701501-5703000,10,5701501,5703000,,FAM208B,ENSG00000108021.20,No description,+,Genegene,overlapping,0,12.51939011
Chr1:177417151-177418650,1,177417151,177418650,,AL122019.1,ENSG00000227579.5,No description,-,Genegene,overlapping,0,12.50581169
Chr17:63239401-63240750,17,63239401,63240750,,TANC2,ENSG00000170921.15,No description,+,Genegene,overlapping,0,12.50133896
Chr14:67946401-67947750,14,67946401,67947750,,RAD51B,ENSG00000182185.18,No description,+,Genegene,overlapping,0,12.47319889
Chr19:41426551-41428050,19,41426551,41428050,,B3GNT8,ENSG00000177191.2,No description,-,Genegene,overlapping,0,12.45146847
Chr3:50642251-50643300,3,50642251,50643300,,MAPKAPK3,ENSG00000114738.10,No description,+,Genegene,overlapping,0,12.44423771
Chr14:62025451-62027550,14,62025451,62027550,,SYT16,ENSG00000139973.16,No description,+,Genegene,overlapping,0,12.43332481
Chr11:72496351-72498300,11,72496351,72498300,,null,,,,,Not found,0,12.41679764
Chr11:67983301-67984800,11,67983301,67984800,,null,,,,,Not found,0,12.41045094
Chr16:88992601-88996050,16,88992601,88996050,,AC135782.2,ENSG00000259989.1,No description,+,Genegene,overlapping,0,12.39660454
Chr18:46516651-46518750,18,46516651,46518750,,LOXHD1,ENSG00000167210.17,No description,-,Genegene,overlapping,0,12.39553356
Chr11:69705901-69707400,11,69705901,69707400,,FGF19,ENSG00000162344.3,No description,-,Genegene,downstream,1259,12.37937832
Chr12:132345001-132346050,12,132345001,132346050,,null,,,,,Not found,0,12.37313747
Chr7:1975501-1978200,7,1975501,1978200,,MAD1L1,ENSG00000002822.15,No description,-,Genegene,overlapping,0,12.35314655
Chr19:9956701-9958200,19,9956701,9958200,,COL5A3,ENSG00000080573.6,No description,-,Genegene,upstream,1361,12.34457302
Chr2:42237601-42238650,2,42237601,42238650,,EML4,ENSG00000143924.18,No description,+,Genegene,overlapping,0,12.33929253
Chr12:116307451-116308800,12,116307451,116308800,,null,,,,,Not found,0,12.33399487
Chr2:43500301-43501500,2,43500301,43501500,,THADA,ENSG00000115970.18,No description,-,Genegene,overlapping,0,12.3054924
Chr19:35808001-35809050,19,35808001,35809050,,PRODH2,ENSG00000250799.9,No description,-,Genegene,overlapping,0,12.29433346
